銘柄コード,企業名,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,,,,
2914,日本たばこ産業（JT）,日本たばこ産業（JT）,日本たばこ産業（JT）,日本たばこ産業（JT）,日本たばこ産業（JT）,日本たばこ産業（JT）,日本たばこ産業（JT）,日本たばこ産業（JT）,日本たばこ産業（JT）,日本たばこ産業（JT）,日本たばこ産業（JT）,,,,,,,
3382,セブン＆アイ・ホールディングス,セブン＆アイ・ホールディングス,セブン＆アイ・ホールディングス,セブン＆アイ・ホールディングス,セブン＆アイ・ホールディングス,セブン＆アイ・ホールディングス,セブン＆アイ・ホールディングス,セブン＆アイ・ホールディングス,セブン＆アイ・ホールディングス,セブン＆アイ・ホールディングス,セブン＆アイ・ホールディングス,セブン＆アイ・ホールディングス,セブン＆アイ・ホールディングス,,,,,
4063,信越化学工業,信越化学工業,信越化学工業,信越化学工業,信越化学工業,信越化学工業,信越化学工業,信越化学工業,信越化学工業,信越化学工業,信越化学工業,信越化学工業,信越化学工業,,,,,
4452,花王,,,花王,,,,,,花王,花王,花王,花王,,,,,
4502,武田薬品工業,武田薬品工業,武田薬品工業,武田薬品工業,武田薬品工業,武田薬品工業,武田薬品工業,武田薬品工業,武田薬品工業,武田薬品工業,武田薬品工業,武田薬品工業,武田薬品工業,,,,,
4503,アステラス製薬,アステラス製薬,アステラス製薬,アステラス製薬,アステラス製薬,アステラス製薬,アステラス製薬,アステラス製薬,アステラス製薬,アステラス製薬,アステラス製薬,アステラス製薬,アステラス製薬,,,,,
4568,第一三共,,,,,,,,,,第一三共,第一三共,第一三共,,,,,
5401,日本製鐵（旧新日本製鐵）,新日本製鐵,新日本製鐵,新日本製鐵,新日本製鐵,新日本製鐵,,,,,,,,,,,,
6098,リクルートホールディングス,,,,,,,,,リクルートホールディングス,リクルートホールディングス,リクルートホールディングス,リクルートホールディングス,,,,,
6273,SMC,,,,,,,,,,,,SMC,,,,,
6301,小松製作所（コマツ）,小松製作所（コマツ）,小松製作所（コマツ）,小松製作所（コマツ）,小松製作所（コマツ）,小松製作所（コマツ）,,,,,,,,,,,,
6367,ダイキン工業,,,,,,,,,,,ダイキン工業,ダイキン工業,,,,,
6501,日立製作所,,,日立製作所,日立製作所,日立製作所,日立製作所,日立製作所,日立製作所,日立製作所,日立製作所,日立製作所,日立製作所,,,,,
6502,東芝,東芝,東芝,東芝,,,,,,,,,,,,,,
6594,日本電産,,,,,,,,,,,日本電産,日本電産,,,,,
6752,パナソニック,パナソニック,パナソニック,パナソニック,パナソニック,パナソニック,パナソニック,パナソニック,パナソニック,パナソニック,,,,,,,,
6758,ソニーグループ（旧ソニー）,ソニー,ソニー,ソニー,ソニー,ソニー,ソニー,ソニー,ソニー,ソニー,ソニー,ソニー,ソニーグループ,,,,,
6861,キーエンス,,,,,,,キーエンス,キーエンス,キーエンス,キーエンス,キーエンス,キーエンス,,,,,
6902,デンソー,,,,デンソー,デンソー,デンソー,デンソー,デンソー,,,,,,,,,
6954,ファナック,,ファナック,ファナック,ファナック,ファナック,ファナック,ファナック,ファナック,ファナック,ファナック,ファナック,ファナック,,,,,
6981,村田製作所,,,,,,村田製作所,村田製作所,村田製作所,村田製作所,村田製作所,村田製作所,村田製作所,,,,,
7201,日産自動車,日産自動車,日産自動車,日産自動車,日産自動車,日産自動車,日産自動車,日産自動車,日産自動車,,,,,,,,,
7203,トヨタ自動車,トヨタ自動車,トヨタ自動車,トヨタ自動車,トヨタ自動車,トヨタ自動車,トヨタ自動車,トヨタ自動車,トヨタ自動車,トヨタ自動車,トヨタ自動車,トヨタ自動車,トヨタ自動車,,,,,
7267,本田技研工業,本田技研工業,本田技研工業,本田技研工業,本田技研工業,本田技研工業,本田技研工業,本田技研工業,本田技研工業,本田技研工業,本田技研工業,本田技研工業,本田技研工業,,,,,
7741,HOYA,,,,,,,,,,,HOYA,HOYA,,,,,
7751,キヤノン,キヤノン,キヤノン,キヤノン,キヤノン,キヤノン,キヤノン,キヤノン,キヤノン,キヤノン,キヤノン,,,,,,,
7974,任天堂,任天堂,任天堂,,,,,,任天堂,任天堂,任天堂,任天堂,任天堂,,,,,
8001,伊藤忠商事,,,,,,,,,,,伊藤忠商事,伊藤忠商事,,,,,
8031,三井物産,三井物産,三井物産,三井物産,三井物産,三井物産,三井物産,三井物産,三井物産,三井物産,三井物産,三井物産,三井物産,,,,,
8035,東京エレクトロン,,,,,,,,,,,,東京エレクトロン,,,,,
8058,三菱商事,三菱商事,三菱商事,三菱商事,三菱商事,三菱商事,三菱商事,三菱商事,三菱商事,三菱商事,三菱商事,三菱商事,三菱商事,,,,,
8306,三菱UFJファイナンシャル・グループ,三菱UFJファイナンシャル・グループ,三菱UFJファイナンシャル・グループ,三菱UFJファイナンシャル・グループ,三菱UFJファイナンシャル・グループ,三菱UFJファイナンシャル・グループ,三菱UFJファイナンシャル・グループ,三菱UFJファイナンシャル・グループ,三菱UFJファイナンシャル・グループ,三菱UFJファイナンシャル・グループ,三菱UFJファイナンシャル・グループ,三菱UFJファイナンシャル・グループ,三菱UFJファイナンシャル・グループ,,,,,
8316,三井住友フィナンシャルグループ,三井住友フィナンシャルグループ,三井住友フィナンシャルグループ,三井住友フィナンシャルグループ,三井住友フィナンシャルグループ,三井住友フィナンシャルグループ,三井住友フィナンシャルグループ,三井住友フィナンシャルグループ,三井住友フィナンシャルグループ,三井住友フィナンシャルグループ,三井住友フィナンシャルグループ,三井住友フィナンシャルグループ,三井住友フィナンシャルグループ,,,,,
8411,みずほフィナンシャルグループ,みずほフィナンシャルグループ,みずほフィナンシャルグループ,みずほフィナンシャルグループ,みずほフィナンシャルグループ,みずほフィナンシャルグループ,みずほフィナンシャルグループ,みずほフィナンシャルグループ,みずほフィナンシャルグループ,みずほフィナンシャルグループ,みずほフィナンシャルグループ,みずほフィナンシャルグループ,みずほフィナンシャルグループ,,,,,
8604,野村ホールディングス,野村ホールディングス,野村ホールディングス,野村ホールディングス,野村ホールディングス,野村ホールディングス,野村ホールディングス,,,,,,,,,,,
8766,東京海上ホールディングス,東京海上ホールディングス,東京海上ホールディングス,東京海上ホールディングス,東京海上ホールディングス,東京海上ホールディングス,東京海上ホールディングス,東京海上ホールディングス,東京海上ホールディングス,東京海上ホールディングス,東京海上ホールディングス,東京海上ホールディングス,東京海上ホールディングス,,,,,
8801,三井不動産,,,,三井不動産,三井不動産,三井不動産,三井不動産,,,,,,,,,,
8802,三菱地所,三菱地所,三菱地所,三菱地所,三菱地所,三菱地所,三菱地所,三菱地所,三菱地所,三菱地所,三菱地所,,,,,,,
9020,東日本旅客鉄道,東日本旅客鉄道,東日本旅客鉄道,東日本旅客鉄道,東日本旅客鉄道,東日本旅客鉄道,東日本旅客鉄道,東日本旅客鉄道,東日本旅客鉄道,東日本旅客鉄道,東日本旅客鉄道,,,,,,,
9022,東海旅客鉄道,,,,,,東海旅客鉄道,東海旅客鉄道,東海旅客鉄道,東海旅客鉄道,東海旅客鉄道,東海旅客鉄道,,,,,,
9432,日本電信電話（NTT）,日本電信電話（NTT）,日本電信電話（NTT）,日本電信電話（NTT）,日本電信電話（NTT）,日本電信電話（NTT）,日本電信電話（NTT）,日本電信電話（NTT）,日本電信電話（NTT）,日本電信電話（NTT）,日本電信電話（NTT）,日本電信電話（NTT）,日本電信電話（NTT）,,,,,
9433,KDDI,KDDI,KDDI,KDDI,KDDI,KDDI,KDDI,KDDI,KDDI,KDDI,KDDI,KDDI,KDDI,,,,,
9437,NTTドコモ（2020年12月25日上場廃止）,NTTドコモ,NTTドコモ,NTTドコモ,NTTドコモ,NTTドコモ,NTTドコモ,NTTドコモ,NTTドコモ,NTTドコモ,NTTドコモ,NTTドコモ（2020年12月25日上場廃止）,,,,,,
9501,東京電力,東京電力,,,,,,,,,,,,,,,,
9503,関西電力,関西電力,関西電力,,,,,,,,,,,,,,,
9984,ソフトバンクグループ（旧ソフトバンク）,ソフトバンク,ソフトバンク,ソフトバンク,ソフトバンク,ソフトバンクグループ,ソフトバンクグループ,ソフトバンクグループ,ソフトバンクグループ,ソフトバンクグループ,ソフトバンクグループ,ソフトバンクグループ,ソフトバンクグループ,,,,,
,,,,,,,,,,,,,,,,,,
